                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4455,                 5.5714,                 4.2461,                0.00128,                0.02588,                0.00052,                0.00014,                 3.9438,                    inf,                 4.4641,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.3955,                  4.439,                 3.0867,                0.00513,                0.06646,                0.00318,                 0.0011,                 2.9618,                 9.6403,                  3.028,              0.0066475,              0.0066475,              0.0066475
                      3,                 2.7542,                 3.7623,                 2.2899,                0.41908,                0.05326,                0.01333,                0.00547,                 2.5733,                 3.7572,                 2.2468,              0.0099676,              0.0099676,              0.0099676
                      4,                 2.3984,                 3.4339,                 1.9794,                  0.311,                0.06898,                0.01577,                0.00751,                 2.2844,                 3.8516,                 2.0467,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2216,                 3.2806,                  1.829,                0.32655,                0.05356,                0.01993,                0.00999,                 2.0993,                 3.2441,                 1.8416,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.1082,                 3.1966,                 1.7483,                0.25558,                0.07772,                0.02086,                0.01044,                 1.9751,                 3.2695,                  1.753,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.0223,                 3.0834,                 1.6795,                0.31512,                0.05149,                0.02391,                0.01231,                 1.9842,                 3.0795,                 1.7199,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.9908,                 3.0428,                 1.6518,                0.32061,                0.08527,                0.02935,                0.01644,                 1.8671,                 2.9809,                 1.6592,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.9079,                 2.9559,                 1.6008,                0.27503,                0.10989,                 0.0306,                  0.017,                 1.8102,                  2.906,                 1.6098,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.8848,                 2.9146,                 1.5825,                0.22492,                0.08499,                0.02994,                0.01558,                 1.9203,                 3.0251,                 1.6622,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.8376,                 2.8723,                 1.5632,                0.18512,                0.10567,                0.03221,                0.01777,                 1.7421,                 2.8876,                 1.5775,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.8165,                 2.8289,                 1.5444,                0.27644,                0.11247,                0.03671,                0.02132,                 1.6917,                 2.8918,                 1.5396,               0.009901,               0.009901,               0.009901
                     13,                 1.7811,                 2.8113,                 1.5206,                 0.2814,                0.11737,                0.03496,                0.01943,                 1.7344,                 2.8713,                 1.5394,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.7497,                 2.7612,                 1.5055,                0.26106,                 0.1238,                0.03895,                0.02218,                 1.6651,                 2.7957,                 1.4937,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.7178,                  2.736,                 1.4739,                0.17269,                0.11835,                0.04068,                 0.0236,                 1.6408,                 2.7513,                 1.4719,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.7119,                 2.7167,                 1.4769,                0.21912,                0.11855,                0.03965,                0.02253,                  1.648,                 2.8145,                 1.4642,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.7204,                 2.6996,                 1.4782,                 0.2376,                0.10259,                0.04174,                 0.0235,                 1.6291,                 2.7445,                 1.4653,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.7049,                 2.6845,                 1.4667,                0.23655,                0.11585,                 0.0419,                0.02498,                 1.5928,                 2.6894,                 1.4434,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.6829,                 2.6665,                 1.4383,                0.13142,                0.11443,                0.04566,                0.02647,                 1.5599,                  2.658,                 1.4171,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.6671,                 2.6253,                 1.4413,                 0.1238,                0.13674,                0.04549,                 0.0272,                  1.547,                  2.688,                 1.4099,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.6729,                 2.6227,                 1.4392,                0.15137,                0.12682,                 0.0475,                0.02752,                 1.5536,                  2.617,                 1.3853,              0.0098119,              0.0098119,              0.0098119
                     22,                  1.642,                 2.6059,                 1.4214,                0.15414,                0.11322,                0.04706,                0.02721,                 1.5526,                  2.634,                 1.4181,               0.009802,               0.009802,               0.009802
                     23,                 1.6272,                 2.5981,                 1.4183,                0.20946,                0.12949,                0.04867,                0.02936,                  1.512,                 2.6252,                 1.3859,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.6343,                 2.5886,                 1.4127,                  0.243,                 0.1126,                 0.0458,                0.02802,                 1.5636,                 2.6841,                 1.4223,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.6366,                 2.5873,                 1.4095,                0.21069,                0.13407,                0.05318,                0.03028,                 1.5186,                 2.5981,                 1.3895,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.6036,                 2.5782,                 1.4077,                0.15144,                0.13993,                0.05236,                0.03102,                 1.4997,                 2.5854,                 1.3747,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.6037,                 2.5301,                  1.381,                0.19293,                0.11915,                0.05061,                0.03033,                 1.5042,                 2.5875,                  1.363,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.5883,                 2.5329,                 1.3889,                0.14801,                0.13527,                0.05555,                0.03359,                 1.5076,                 2.5749,                 1.3653,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.5622,                 2.5261,                  1.367,                0.14268,                0.12818,                0.05045,                0.03049,                 1.4999,                 2.6069,                   1.37,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.5873,                 2.5005,                 1.3784,                0.26905,                0.13166,                0.05733,                0.03513,                 1.4917,                 2.5522,                 1.3652,              0.0097228,              0.0097228,              0.0097228
                     31,                   1.56,                 2.5023,                 1.3744,                 0.2665,                0.12851,                0.06417,                0.03827,                  1.495,                 2.5709,                 1.3521,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.5656,                 2.4741,                 1.3662,                0.22043,                0.14486,                0.05815,                0.03526,                 1.4622,                  2.562,                 1.3432,               0.009703,               0.009703,               0.009703
                     33,                 1.5449,                 2.4577,                 1.3574,                0.21589,                0.14261,                0.06132,                0.03854,                 1.4802,                 2.5203,                 1.3589,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.5406,                 2.4508,                  1.349,                0.16974,                0.14463,                0.06904,                0.04262,                 1.4651,                 2.5404,                 1.3429,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.5297,                 2.4401,                 1.3413,                0.26915,                0.14203,                0.06473,                0.04013,                 1.4755,                 2.5562,                 1.3449,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.5299,                 2.4352,                 1.3501,                0.25487,                0.15298,                 0.0659,                0.03991,                 1.4736,                 2.5592,                 1.3392,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.5148,                 2.4094,                 1.3491,                0.23128,                0.14165,                0.06175,                0.03755,                 1.4788,                 2.5604,                 1.3366,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.5328,                  2.431,                 1.3481,                0.17369,                0.13205,                0.06867,                0.04225,                 1.4438,                 2.5209,                 1.3234,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.5112,                 2.4007,                 1.3307,                0.11019,                0.15908,                0.06992,                0.04241,                 1.4464,                 2.5161,                 1.3118,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.5313,                 2.3813,                 1.3336,                0.32647,                 0.1515,                0.07426,                0.04591,                 1.4463,                 2.4479,                 1.3079,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.5037,                 2.3801,                 1.3235,                0.25449,                0.15401,                0.07337,                0.04511,                 1.4404,                 2.4959,                 1.3165,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.5042,                 2.3608,                 1.3195,                0.25573,                 0.1532,                0.07749,                0.04882,                 1.4384,                 2.4673,                 1.3111,               0.009604,               0.009604,               0.009604
                     43,                 1.5116,                 2.3588,                 1.3285,                 0.2741,                0.15271,                0.07557,                0.04725,                 1.4222,                 2.4772,                 1.2989,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.4854,                 2.3349,                 1.3258,                0.30582,                0.15141,                0.07756,                0.04726,                 1.4369,                 2.4892,                 1.3056,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.4836,                 2.3551,                  1.316,                0.28347,                0.16098,                0.07601,                0.04781,                 1.4219,                 2.4523,                 1.3099,              0.0095743,              0.0095743,              0.0095743
                     46,                  1.486,                 2.3035,                 1.3159,                0.22868,                 0.1678,                0.07904,                 0.0493,                 1.4051,                 2.4744,                   1.28,              0.0095644,              0.0095644,              0.0095644
                     47,                  1.483,                  2.317,                 1.3169,                0.27259,                 0.1585,                0.07836,                0.04935,                 1.3763,                 2.4566,                 1.2857,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.4782,                 2.3444,                 1.3138,                0.27931,                 0.1505,                0.08001,                0.05054,                 1.4148,                 2.4124,                 1.2999,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.4788,                 2.2827,                 1.3062,                0.23269,                0.16591,                0.08415,                0.05203,                 1.4183,                 2.4427,                 1.2877,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.4643,                 2.2937,                 1.2945,                0.22907,                0.15871,                0.07921,                0.04941,                 1.4027,                 2.4498,                 1.2871,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.4674,                  2.301,                 1.2998,                0.20424,                 0.1654,                0.07968,                0.04884,                 1.4033,                 2.4529,                 1.2988,              0.0095149,              0.0095149,              0.0095149
                     52,                  1.459,                 2.2601,                 1.3026,                0.25128,                0.16531,                0.08756,                0.05476,                 1.3929,                 2.4115,                 1.2928,               0.009505,               0.009505,               0.009505
                     53,                 1.4562,                   2.29,                 1.2969,                0.24485,                0.15944,                0.08206,                0.05245,                 1.3842,                 2.4136,                  1.284,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.4759,                 2.2878,                 1.3092,                0.20314,                0.15705,                0.07911,                0.05015,                 1.3853,                 2.4262,                 1.2806,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.4606,                 2.2633,                 1.2912,                0.24611,                0.15798,                0.08507,                0.05256,                 1.4032,                 2.4472,                 1.2822,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.4515,                 2.2385,                 1.2926,                0.23345,                0.15913,                0.08262,                0.05259,                  1.391,                 2.4505,                 1.2815,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.4605,                 2.2452,                 1.2916,                0.22586,                0.15728,                0.08828,                0.05637,                 1.3807,                 2.4374,                 1.2639,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.4432,                 2.2344,                 1.2791,                 0.2335,                0.15234,                0.08229,                 0.0527,                 1.3918,                 2.4727,                  1.282,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4268,                 2.2234,                 1.2911,                0.21021,                0.16684,                0.08997,                0.05882,                 1.3687,                 2.4094,                 1.2625,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.4345,                 2.2291,                 1.2772,                0.27774,                0.16789,                0.09178,                0.05642,                 1.3964,                 2.4151,                 1.2687,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.4211,                 2.1996,                 1.2771,                0.23318,                 0.1662,                0.08949,                0.05703,                 1.3443,                 2.4474,                 1.2631,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.4352,                 2.2379,                 1.2855,                0.24307,                0.17056,                0.09857,                0.06185,                 1.3742,                 2.3788,                 1.2657,               0.009406,               0.009406,               0.009406
                     63,                 1.4242,                 2.1859,                  1.271,                0.24483,                0.15548,                0.09526,                0.06104,                 1.3772,                 2.3859,                  1.265,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.4176,                 2.1979,                 1.2683,                0.25044,                0.17439,                 0.0973,                0.06189,                 1.3775,                 2.3809,                 1.2629,              0.0093862,              0.0093862,              0.0093862
                     65,                  1.421,                 2.1854,                 1.2615,                0.28157,                0.16757,                0.09614,                 0.0606,                 1.3736,                 2.3801,                 1.2765,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.4169,                 2.1778,                 1.2704,                0.19539,                0.16081,                0.09645,                0.06117,                 1.3617,                 2.3874,                  1.266,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.4152,                 2.1741,                 1.2661,                0.23836,                0.15478,                0.10215,                0.06507,                 1.3608,                 2.3862,                 1.2529,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.4142,                 2.1602,                 1.2704,                0.21916,                0.18284,                0.09732,                0.06166,                 1.3617,                 2.3366,                  1.261,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.3979,                 2.1466,                 1.2631,                0.23565,                0.16921,                0.10154,                0.06464,                   1.36,                 2.3536,                 1.2525,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.4239,                 2.1706,                 1.2708,                0.22353,                0.17542,                0.10028,                0.06373,                 1.3476,                 2.3224,                 1.2528,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.4188,                  2.153,                 1.2661,                 0.2156,                0.16308,                0.09825,                0.06322,                 1.3504,                 2.3546,                 1.2595,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.4043,                 2.1234,                  1.261,                0.23846,                0.16967,                0.10273,                0.06727,                 1.3452,                 2.3412,                 1.2555,               0.009307,               0.009307,               0.009307
                     73,                 1.4011,                 2.1653,                 1.2607,                 0.2335,                0.17411,                0.10204,                0.06574,                 1.3399,                  2.352,                 1.2386,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.4086,                 2.1264,                 1.2725,                0.25018,                0.17535,                0.10566,                0.06887,                 1.3398,                 2.3515,                 1.2572,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.3866,                 2.1255,                 1.2611,                 0.2535,                0.17793,                0.10428,                0.06786,                 1.3436,                   2.34,                 1.2566,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.3902,                 2.0955,                 1.2615,                0.23924,                0.17446,                0.10736,                0.07092,                 1.3447,                 2.3199,                  1.249,              0.0092674,              0.0092674,              0.0092674
