                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.952,                 5.8925,                 4.2707,                  2e-05,                0.00059,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.2621,                 4.9638,                 3.5278,                0.06092,                0.05944,                0.00217,                0.00081,                 2.9641,                    inf,                 4.2431,              0.0066475,              0.0066475,              0.0066475
                      3,                 2.6908,                 4.1826,                 2.7294,                0.18286,                 0.0886,                0.00864,                0.00356,                 2.5037,                 7.0883,                 2.6598,              0.0099676,              0.0099676,              0.0099676
                      4,                 2.3803,                 3.8609,                 2.3755,                0.19912,                0.08704,                 0.0177,                0.00802,                 2.2697,                 4.2126,                 2.3288,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2135,                 3.7025,                 2.1922,                0.00529,                0.27697,                0.00962,                0.00479,                 2.2335,                 7.6029,                 2.3631,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.1208,                 3.6029,                 2.0977,                0.21259,                0.09805,                0.02259,                0.01194,                 1.9996,                 3.5406,                 2.0797,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.0392,                  3.489,                 1.9994,                0.26187,                0.10794,                0.02473,                0.01315,                 1.9779,                 3.9006,                 2.0277,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.9922,                 3.4388,                 1.9502,                0.33625,                 0.0988,                0.02817,                0.01479,                  1.933,                   3.32,                 1.9707,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.9197,                 3.3362,                 1.8908,                0.11237,                0.11292,                0.02956,                 0.0168,                 1.8469,                 3.2471,                 1.8855,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.8931,                 3.2983,                 1.8542,                0.32979,                 0.0899,                0.02802,                0.01555,                 1.8476,                 3.2847,                 1.8726,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.8445,                   3.25,                 1.8188,                0.22743,                0.09521,                 0.0286,                0.01646,                 1.8281,                 3.2927,                 1.8702,              0.0099109,              0.0099109,              0.0099109
