                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4849,                 5.5499,                 4.2071,                0.00049,                0.01645,                0.00022,                  6e-05,                 4.1825,                    inf,                 16.904,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.3279,                 4.3396,                 3.0053,                0.35621,                0.03678,                0.00857,                0.00326,                 2.7635,                  4.059,                 2.6099,              0.0066475,              0.0066475,              0.0066475
                      3,                  2.614,                 3.6461,                 2.2153,                0.36398,                0.03468,                0.01448,                0.00601,                 2.3983,                 3.4851,                  2.156,              0.0099676,              0.0099676,              0.0099676
                      4,                 2.2811,                 3.3182,                 1.9084,                0.32144,                0.08615,                0.01886,                0.00829,                 2.2025,                 3.5942,                  1.964,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.1487,                 3.1756,                 1.7822,                0.28944,                0.04119,                0.02242,                0.01151,                 1.9967,                 3.1183,                 1.7851,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.0439,                 3.0992,                 1.7081,                0.26122,                0.07431,                0.02403,                0.01226,                 1.9048,                 3.0845,                   1.72,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.9538,                 2.9954,                 1.6403,                0.15808,                0.07655,                0.02627,                0.01418,                 1.8849,                 3.0623,                  1.696,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.9369,                  2.962,                 1.6298,                0.26943,                 0.1027,                0.03255,                0.01763,                 1.8725,                 2.9724,                 1.6641,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.8825,                 2.8845,                 1.5842,                0.19938,                0.10959,                0.04019,                 0.0227,                 1.7594,                 2.8375,                 1.5756,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.8408,                  2.838,                  1.555,                0.25528,                 0.0867,                0.03327,                0.01896,                 1.8029,                 2.9154,                 1.6021,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.8135,                 2.8047,                 1.5459,                0.18207,                0.08864,                0.03731,                0.02219,                 1.7153,                 2.8321,                 1.5713,              0.0099109,              0.0099109,              0.0099109
                     12,                  1.788,                 2.7652,                  1.537,                0.35859,                0.08346,                0.03965,                0.02351,                 1.6616,                 2.8209,                  1.524,               0.009901,               0.009901,               0.009901
                     13,                 1.7635,                 2.7478,                 1.5049,                0.18685,                0.13244,                 0.0457,                0.02677,                 1.6724,                 2.7369,                 1.5258,              0.0098911,              0.0098911,              0.0098911
