                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9404,                 5.9095,                 4.2687,                0.00054,                0.02182,                0.00031,                  8e-05,                 3.6892,                    inf,                 5.6352,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.2656,                 4.9046,                 3.5156,                0.29684,                0.05268,                0.00666,                0.00255,                 2.8951,                 5.5188,                 3.1609,              0.0066475,              0.0066475,              0.0066475
                      3,                 2.7089,                 4.1433,                 2.7487,                0.20525,                0.05053,                0.01221,                0.00445,                 2.5336,                 4.2275,                  2.687,              0.0099676,              0.0099676,              0.0099676
                      4,                 2.3726,                 3.8229,                 2.3765,                0.27357,                0.09297,                0.01752,                0.00887,                 2.2085,                  3.933,                 2.2995,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.2068,                 3.6496,                 2.1888,                0.32498,                0.04917,                0.02103,                0.01089,                 2.0683,                  3.527,                 2.1431,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.0856,                  3.554,                   2.07,                0.20228,                0.09423,                0.02212,                0.01167,                 1.9796,                  3.607,                 2.0551,              0.0099604,              0.0099604,              0.0099604
                      7,                 2.0056,                 3.4294,                 1.9723,                0.22446,                0.07706,                0.02511,                0.01369,                 1.9693,                 3.3784,                 1.9957,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.9571,                 3.3831,                 1.9227,                 0.1862,                0.08609,                0.02791,                0.01461,                 1.9166,                 3.2464,                 1.9269,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.8961,                 3.2899,                 1.8627,                0.12697,                 0.0937,                0.02994,                0.01692,                 1.8193,                 3.1707,                  1.854,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.8877,                 3.2492,                 1.8434,                0.26615,                0.10396,                 0.0285,                0.01566,                 1.7854,                 3.2916,                 1.8208,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.833,                 3.1892,                 1.8058,                0.33571,                0.11398,                0.03188,                0.01817,                 1.7877,                 3.1404,                 1.8135,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.8229,                 3.1613,                 1.7933,                0.28797,                0.12571,                0.03311,                0.01967,                 1.7247,                 3.2319,                 1.7477,               0.009901,               0.009901,               0.009901
                     13,                 1.7946,                 3.1328,                 1.7672,                0.23072,                0.12619,                0.03597,                0.02096,                 1.7113,                 3.0603,                 1.7441,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.7555,                 3.1034,                 1.7383,                0.23029,                0.10404,                 0.0357,                0.02098,                 1.7162,                 3.0621,                 1.7029,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.7465,                 3.0537,                  1.707,                0.17469,                0.10735,                0.03765,                0.02191,                 1.6778,                 3.0156,                    1.7,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.7366,                 3.0435,                 1.6955,                 0.1764,                0.11684,                0.03702,                0.02221,                 1.6907,                 3.0694,                 1.7373,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.7351,                  3.009,                 1.7043,                0.17752,                0.13119,                  0.041,                0.02471,                 1.6453,                 3.0322,                 1.6673,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.7165,                 3.0144,                 1.6804,                0.31774,                0.12267,                0.04327,                0.02604,                 1.6282,                 2.9792,                 1.6502,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.7101,                 2.9705,                 1.6718,                0.24269,                0.12589,                0.04194,                0.02531,                 1.6492,                 2.9607,                 1.6619,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.6827,                 2.9313,                 1.6571,                0.19139,                0.12493,                0.04287,                0.02609,                 1.6138,                 2.9564,                 1.6442,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.6865,                 2.9434,                 1.6513,                 0.2038,                0.11708,                0.04756,                0.02884,                 1.6136,                 2.9423,                 1.6251,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.6727,                 2.9249,                 1.6384,                0.23893,                0.12042,                0.04316,                0.02542,                 1.5933,                 2.9539,                 1.5904,               0.009802,               0.009802,               0.009802
                     23,                 1.6729,                 2.9141,                 1.6329,                0.25081,                 0.1352,                0.04983,                0.02994,                 1.6124,                  2.873,                 1.6239,              0.0097921,              0.0097921,              0.0097921
                     24,                  1.662,                 2.8984,                 1.6358,                0.17589,                0.13088,                0.04322,                0.02431,                  1.619,                 2.9712,                 1.6182,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.6652,                 2.8918,                 1.6094,                0.27012,                0.12769,                0.05299,                0.03269,                 1.5743,                 2.8238,                 1.5841,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.6318,                 2.9024,                 1.6181,                0.20169,                0.13571,                0.05057,                0.03101,                 1.5517,                   2.85,                  1.574,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.6346,                 2.8513,                  1.584,                0.31669,                0.12809,                0.05503,                0.03295,                  1.557,                 2.8155,                 1.5693,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.6344,                 2.8399,                 1.6042,                0.24608,                0.13026,                0.05029,                0.03095,                 1.5683,                  2.839,                 1.5857,              0.0097426,              0.0097426,              0.0097426
                     29,                 1.6238,                 2.8447,                 1.5873,                0.27525,                0.13401,                0.04832,                0.02931,                 1.5463,                 2.8378,                  1.547,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.6395,                 2.8239,                 1.5891,                0.26891,                0.13666,                0.05243,                0.03163,                 1.5433,                  2.893,                   1.55,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.6179,                 2.8182,                 1.5819,                0.19202,                0.13725,                0.05214,                0.03211,                  1.567,                 2.8177,                 1.5804,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.6093,                 2.7874,                 1.5797,                 0.2871,                0.13698,                0.05878,                0.03547,                 1.5464,                 2.7941,                   1.56,               0.009703,               0.009703,               0.009703
                     33,                  1.604,                 2.7671,                 1.5701,                0.18027,                0.14472,                0.05169,                0.03105,                 1.5373,                 2.8147,                 1.5436,              0.0096931,              0.0096931,              0.0096931
                     34,                 1.5894,                 2.7588,                 1.5522,                0.20538,                0.13952,                0.05968,                0.03651,                 1.5178,                 2.7704,                 1.5382,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.5925,                 2.7453,                 1.5586,                0.19406,                 0.1326,                0.05575,                 0.0342,                 1.5488,                 2.7803,                 1.5457,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.5845,                 2.7444,                 1.5559,                0.31799,                0.13932,                0.05884,                0.03559,                 1.5444,                 2.8113,                 1.5494,              0.0096634,              0.0096634,              0.0096634
                     37,                  1.576,                 2.7233,                 1.5554,                 0.2957,                0.13656,                0.06092,                0.03761,                  1.526,                 2.7597,                 1.5277,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.5936,                 2.7493,                 1.5464,                0.18357,                0.14292,                0.06392,                0.03887,                 1.5021,                 2.7421,                 1.5086,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.5625,                 2.7237,                 1.5348,                0.20608,                0.14567,                0.06147,                0.03728,                 1.5288,                 2.7395,                 1.5392,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.5806,                 2.6994,                 1.5323,                0.21254,                0.15528,                0.07039,                0.04341,                 1.5035,                 2.6843,                  1.511,              0.0096238,              0.0096238,              0.0096238
                     41,                  1.562,                  2.695,                   1.53,                0.23467,                0.14353,                0.06477,                 0.0382,                 1.4924,                 2.7089,                  1.523,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.5737,                 2.6854,                 1.5364,                0.21839,                0.13903,                0.07058,                0.04364,                 1.4827,                 2.6913,                 1.5039,               0.009604,               0.009604,               0.009604
                     43,                 1.5641,                 2.6865,                 1.5324,                0.23184,                0.14311,                0.06578,                0.04163,                 1.4828,                 2.7384,                 1.5064,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.5445,                 2.6646,                 1.5343,                0.28023,                0.14413,                0.06889,                0.04126,                   1.49,                 2.7279,                  1.508,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.5419,                 2.6749,                 1.5164,                0.17377,                 0.1503,                0.06668,                0.04112,                 1.4765,                 2.6977,                 1.4998,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.5488,                 2.6249,                 1.5194,                0.22797,                0.14395,                 0.0732,                0.04511,                 1.4736,                 2.7173,                 1.4955,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.5417,                 2.6371,                 1.5122,                0.17499,                0.15721,                0.07363,                0.04573,                 1.4761,                 2.6659,                 1.4918,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.5466,                 2.6549,                 1.5169,                0.26043,                0.14431,                0.07486,                0.04792,                 1.4756,                 2.6481,                 1.4929,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.5364,                 2.6149,                  1.507,                0.17299,                0.16727,                0.07646,                0.04862,                 1.4833,                 2.6489,                 1.4907,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.5335,                 2.6153,                  1.504,                0.23817,                0.16217,                0.07434,                 0.0462,                 1.4536,                 2.6737,                 1.4836,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.5334,                 2.6268,                 1.5045,                0.23714,                0.15943,                0.07488,                 0.0478,                 1.4573,                 2.6343,                 1.4766,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.5221,                 2.5946,                 1.5013,                0.24875,                0.15974,                  0.078,                0.04902,                 1.4929,                 2.6334,                 1.4939,               0.009505,               0.009505,               0.009505
                     53,                 1.5278,                  2.612,                 1.5057,                0.18445,                0.14988,                0.07613,                0.04801,                 1.4883,                 2.6552,                 1.4927,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.5287,                 2.6018,                 1.5085,                0.25922,                0.15863,                0.07826,                0.04955,                 1.4526,                 2.6043,                 1.4804,              0.0094852,              0.0094852,              0.0094852
                     55,                  1.523,                 2.5791,                 1.4874,                0.25056,                 0.1602,                0.07786,                0.04946,                 1.4668,                 2.6323,                 1.4761,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.5143,                 2.5711,                 1.4942,                0.25642,                0.15422,                0.08055,                 0.0507,                 1.4593,                 2.6205,                 1.4653,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.5214,                 2.5621,                 1.4908,                0.23123,                0.16163,                0.08117,                0.05268,                 1.4441,                 2.6051,                 1.4539,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.4987,                 2.5594,                 1.4768,                0.23872,                0.15994,                0.08198,                0.05225,                  1.454,                 2.6193,                 1.4727,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.5141,                 2.5674,                 1.4962,                0.25898,                 0.1569,                0.08356,                0.05319,                 1.4454,                 2.6056,                 1.4647,              0.0094357,              0.0094357,              0.0094357
                     60,                  1.497,                  2.539,                 1.4765,                0.24153,                0.16263,                0.08042,                0.05095,                 1.4518,                  2.632,                 1.4655,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.4998,                 2.5438,                 1.4768,                0.17417,                0.17277,                0.08043,                0.05094,                  1.431,                 2.5795,                 1.4595,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.5084,                 2.5473,                 1.4796,                 0.1454,                0.16968,                0.08759,                0.05572,                  1.446,                 2.6007,                 1.4576,               0.009406,               0.009406,               0.009406
