                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6112,                 6.2291,                 4.2977,                0.00037,                0.00614,                0.00019,                  6e-05,                 3.3809,                    inf,                 5.7404,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.2252,                 5.3857,                 3.8078,                0.00306,                0.17913,                0.00357,                0.00134,                 2.9017,                 5.8889,                 3.4208,              0.0066475,              0.0066475,              0.0066475
                      3,                 2.7541,                 4.5801,                 3.0977,                0.06396,                0.08243,                0.00378,                0.00146,                 2.6154,                    inf,                 3.1508,              0.0099676,              0.0099676,              0.0099676
                      4,                 2.3811,                 4.1865,                  2.622,                0.14495,                0.08759,                0.01217,                0.00618,                  2.296,                 5.4653,                 2.5526,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.1356,                 3.9411,                 2.3233,                  0.255,                0.06295,                0.01627,                0.00836,                 2.0357,                  3.889,                 2.2933,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.0075,                  3.795,                  2.153,                 0.2062,                0.09805,                0.02177,                0.01225,                 1.9334,                 4.2126,                 2.1444,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.9319,                 3.6886,                 2.0659,                0.11279,                0.09877,                 0.0237,                0.01365,                 1.8442,                 3.6294,                 2.0228,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.8747,                 3.6252,                 2.0044,                0.21074,                0.10981,                0.02613,                0.01436,                 1.9042,                 3.7739,                 2.0466,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.8217,                 3.5153,                 1.9546,                 0.1796,                0.10862,                0.02936,                0.01783,                 1.7681,                 3.4998,                 1.9217,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.7999,                 3.4838,                 1.8996,                0.26796,                0.11312,                0.02729,                0.01585,                 1.7938,                 3.5892,                 1.8944,              0.0099208,              0.0099208,              0.0099208
