                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9602,                 5.7167,                  4.247,                0.00109,                0.04274,                0.00066,                0.00019,                 3.5558,                    inf,                 4.9849,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.2489,                 4.7332,                 3.4998,                0.23894,                0.07706,                0.00653,                 0.0026,                 2.8185,                    inf,                 3.1617,              0.0066475,              0.0066475,              0.0066475
                      3,                 2.6328,                 4.0417,                 2.7043,                0.37009,                0.04841,                 0.0141,                0.00659,                 2.3485,                 3.8347,                 2.5191,              0.0099676,              0.0099676,              0.0099676
                      4,                  2.264,                 3.6846,                  2.278,                0.27299,                0.08996,                0.01785,                0.00848,                 2.1889,                 3.9072,                 2.2628,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.0787,                 3.5124,                 2.0719,                0.20585,                0.06892,                0.02151,                0.01111,                 1.9753,                 3.4177,                 2.0522,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.9497,                 3.4026,                 1.9343,                0.31305,                0.08746,                  0.023,                0.01279,                 1.8007,                 3.3578,                 1.8742,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.8603,                 3.2732,                 1.8352,                0.20971,                0.11955,                0.02551,                0.01455,                  1.797,                 3.5253,                 1.8634,              0.0099505,              0.0099505,              0.0099505
                      8,                  1.812,                 3.2303,                 1.7869,                0.23936,                0.09621,                0.02926,                0.01662,                 1.7834,                 3.1897,                 1.8107,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.7611,                 3.1399,                 1.7355,                0.11596,                0.10461,                0.03366,                0.02015,                 1.6788,                 3.0852,                 1.7035,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.7364,                 3.0941,                 1.7043,                0.21016,                0.11617,                0.03115,                0.01771,                 1.6694,                  3.257,                 1.6881,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.691,                 3.0273,                 1.6726,                0.18652,                0.10284,                0.04076,                 0.0248,                 1.6609,                 2.9865,                 1.6611,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.6663,                 2.9975,                 1.6496,                0.29413,                0.11378,                0.04099,                 0.0252,                 1.6013,                 2.9863,                 1.6186,               0.009901,               0.009901,               0.009901
                     13,                 1.6548,                 2.9706,                 1.6359,                0.29856,                0.13647,                0.04219,                0.02533,                 1.6202,                 3.1032,                 1.6344,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.6089,                 2.9237,                 1.6031,                0.33827,                0.10359,                0.04379,                0.02672,                 1.5843,                  2.962,                 1.6015,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.6033,                 2.8832,                 1.5861,                0.17775,                 0.1246,                0.04444,                0.02706,                 1.5472,                 2.8962,                 1.5794,              0.0098713,              0.0098713,              0.0098713
