                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5367,                 6.1599,                 4.2756,                0.00052,                0.04857,                0.00031,                 0.0001,                 3.4832,                    inf,                  5.737,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.0794,                 5.1217,                 3.6363,                0.24402,                 0.0449,                0.00602,                0.00212,                 2.7904,                 7.0077,                 3.2893,              0.0066475,              0.0066475,              0.0066475
                      3,                 2.6189,                 4.4504,                 2.9807,                0.07709,                0.06828,                0.00875,                0.00374,                 2.4915,                 6.0368,                 2.8581,              0.0099676,              0.0099676,              0.0099676
                      4,                 2.3059,                 4.0903,                 2.5752,                0.09036,                0.09952,                0.01617,                0.00797,                 2.1714,                 4.6613,                 2.4923,              0.0099703,              0.0099703,              0.0099703
                      5,                  2.101,                 3.8749,                 2.3195,                0.25677,                0.05475,                0.01827,                0.00936,                 2.0426,                 3.7941,                 2.3125,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.9815,                 3.7503,                 2.1707,                0.20025,                0.10589,                0.02019,                0.01085,                 1.8944,                 4.1316,                 2.1375,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.9071,                 3.6483,                 2.0771,                0.25752,                0.07298,                0.02559,                0.01456,                 1.8607,                 3.5684,                 2.0751,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.8541,                 3.6117,                 2.0219,                0.26753,                0.09835,                0.02609,                 0.0149,                 1.8254,                 3.5742,                  2.016,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.8104,                 3.5204,                 1.9701,                0.21258,                0.10993,                 0.0299,                0.01759,                 1.7424,                 3.4151,                 1.9133,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.7949,                 3.4843,                 1.9265,                0.16512,                0.12086,                0.03156,                0.01832,                 1.7777,                 3.4684,                 1.9433,              0.0099208,              0.0099208,              0.0099208
                     11,                  1.742,                 3.4058,                 1.8884,                0.21872,                0.10271,                0.03416,                0.02032,                 1.7136,                 3.3377,                 1.8871,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.7209,                 3.3806,                 1.8674,                  0.346,                0.11401,                0.03705,                0.02303,                 1.6732,                 3.3314,                 1.8391,               0.009901,               0.009901,               0.009901
                     13,                  1.714,                 3.3479,                 1.8481,                0.28217,                0.14268,                0.03654,                0.02203,                  1.684,                 3.3418,                 1.8342,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.6747,                 3.3031,                 1.8121,                0.22375,                0.13983,                0.03688,                0.02179,                 1.6441,                  3.371,                 1.7804,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.6653,                 3.2554,                 1.7952,                0.17491,                0.13056,                0.03794,                0.02253,                 1.6374,                 3.2878,                  1.776,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.6519,                 3.2384,                  1.782,                0.23118,                0.13898,                0.04156,                0.02535,                 1.6316,                 3.1783,                  1.787,              0.0098614,              0.0098614,              0.0098614
                     17,                  1.648,                 3.1854,                 1.7765,                0.20018,                0.13312,                0.04671,                0.02839,                 1.6105,                 3.2094,                 1.7645,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.6358,                 3.1941,                 1.7563,                0.24888,                0.13757,                0.04539,                0.02757,                 1.6155,                 3.1989,                 1.7629,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.6264,                 3.1573,                 1.7588,                0.17958,                0.16236,                0.04326,                0.02772,                 1.5767,                 3.1947,                 1.7035,              0.0098317,              0.0098317,              0.0098317
                     20,                 1.5988,                 3.1086,                 1.7212,                 0.2103,                0.14578,                0.04723,                0.02988,                 1.5459,                 3.1625,                 1.6902,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.5919,                 3.0942,                 1.7196,                 0.1904,                0.14329,                0.05013,                0.03032,                 1.5963,                 3.1133,                 1.7215,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.5853,                 3.0553,                 1.7167,                0.19049,                0.14374,                0.05262,                0.03233,                 1.5742,                 3.0826,                 1.6959,               0.009802,               0.009802,               0.009802
                     23,                 1.5861,                 3.0329,                 1.7003,                0.18448,                0.15317,                0.05236,                0.03154,                  1.545,                  3.132,                  1.666,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.5743,                 3.0253,                 1.6888,                0.25718,                0.16392,                0.05264,                0.03354,                 1.5632,                 3.1523,                 1.6831,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.5737,                 3.0264,                 1.6687,                 0.2112,                0.16047,                0.06063,                0.03781,                 1.5549,                 3.0524,                 1.6689,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.5506,                 3.0114,                 1.6714,                 0.2059,                 0.1695,                0.06414,                0.04046,                  1.505,                 2.9945,                 1.6362,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.5557,                 2.9634,                 1.6503,                  0.206,                0.15044,                0.05941,                 0.0367,                 1.5227,                 3.0276,                 1.6601,              0.0097525,              0.0097525,              0.0097525
