                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7549,                 5.6643,                 4.3029,                0.00127,                0.03384,                0.00081,                0.00021,                 3.5847,                 5.1235,                 4.1161,              0.0033207,              0.0033207,              0.0033207
                      2,                 3.1759,                 4.8197,                 3.5242,                0.06301,                0.13184,                0.00363,                0.00142,                 2.8702,                 39.788,                 3.1377,              0.0066475,              0.0066475,              0.0066475
                      3,                 2.6747,                 4.1952,                 2.7852,                0.02209,                 0.0468,                0.00617,                0.00239,                 2.5753,                 4.1782,                 2.6624,              0.0099676,              0.0099676,              0.0099676
                      4,                 2.3733,                 3.8881,                 2.3698,                0.07114,                0.12896,                0.00772,                0.00402,                 2.2935,                 19.667,                 2.2793,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.1368,                 3.6395,                 2.1047,                0.20724,                0.05766,                0.01755,                0.00932,                 2.0539,                 3.6948,                 2.0965,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.0042,                 3.4676,                 1.9671,                0.37254,                0.09633,                0.02371,                0.01266,                 1.9581,                 3.4972,                 1.9097,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.9113,                 3.3251,                 1.8698,                0.16614,                0.07508,                0.02843,                 0.0156,                 1.8612,                 3.2237,                 1.8174,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.8413,                 3.2321,                 1.7816,                0.34033,                0.08713,                 0.0314,                0.01755,                 1.7892,                 3.1385,                 1.7586,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.7943,                 3.1494,                 1.7389,                0.11323,                0.12267,                0.03022,                0.01747,                 1.7346,                 3.2932,                 1.7162,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.7427,                 3.0837,                 1.6972,                0.22489,                0.11937,                0.03436,                0.01961,                 1.6873,                 3.0819,                 1.6702,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.7012,                 3.0288,                 1.6535,                 0.2329,                0.13566,                0.03699,                0.02156,                 1.6418,                 3.1528,                 1.6374,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.6655,                 2.9929,                 1.6131,                0.29937,                0.11237,                0.03405,                0.01991,                 1.6603,                 3.1366,                  1.614,               0.009901,               0.009901,               0.009901
                     13,                 1.6492,                 2.9491,                 1.6057,                0.29624,                0.09178,                0.04067,                0.02368,                 1.6447,                 2.9306,                 1.6211,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.6261,                 2.9084,                  1.578,                0.29369,                0.12106,                0.04402,                0.02676,                 1.6087,                 2.9198,                 1.5757,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.6181,                  2.888,                 1.5719,                0.29659,                0.13157,                0.04355,                0.02518,                  1.613,                 2.9581,                 1.5905,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.6068,                 2.8458,                 1.5522,                0.24468,                0.13469,                0.04731,                0.02877,                 1.6105,                 2.9104,                 1.5706,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.5749,                 2.7965,                 1.5293,                 0.2085,                0.14757,                0.05299,                0.03295,                 1.5548,                 2.8768,                 1.5456,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.5473,                 2.7785,                 1.5093,                0.18736,                0.13126,                0.05077,                0.03041,                 1.5862,                 2.8705,                 1.5514,              0.0098416,              0.0098416,              0.0098416
                     19,                   1.54,                 2.7483,                  1.508,                0.20036,                0.13627,                0.05811,                0.03516,                 1.5563,                 2.8073,                 1.5024,              0.0098317,              0.0098317,              0.0098317
                     20,                  1.544,                 2.7136,                 1.5039,                0.22034,                0.14546,                0.05686,                0.03502,                 1.5392,                 2.8293,                 1.5194,              0.0098218,              0.0098218,              0.0098218
                     21,                 1.5038,                 2.6822,                 1.4758,                0.26895,                0.13723,                0.06309,                0.03842,                 1.5151,                 2.7873,                 1.5016,              0.0098119,              0.0098119,              0.0098119
                     22,                 1.5064,                 2.6777,                 1.4789,                0.15722,                0.16056,                0.05694,                0.03499,                 1.5219,                  2.797,                 1.4971,               0.009802,               0.009802,               0.009802
                     23,                 1.4827,                 2.6444,                 1.4603,                0.16939,                0.14864,                0.06852,                0.04331,                 1.5102,                 2.7512,                 1.4997,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.4749,                 2.6112,                 1.4425,                0.21124,                0.15782,                0.06325,                0.03922,                 1.4811,                 2.7957,                  1.476,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.4505,                 2.5848,                 1.4368,                0.21689,                 0.1674,                0.07373,                0.04666,                 1.4883,                 2.6893,                 1.4895,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.4574,                  2.563,                 1.4255,                 0.1673,                0.15352,                0.07388,                0.04573,                  1.511,                 2.7181,                 1.4907,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.4522,                 2.5547,                 1.4336,                 0.1934,                0.16024,                0.07707,                0.04961,                 1.4718,                 2.6474,                 1.4561,              0.0097525,              0.0097525,              0.0097525
